Market,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Lease Rates
Metal/Currency,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,6 Month
Priced In,USD,USD,AUD,AUD,JPY,JPY,USD,USD,AUD,AUD,JPY,JPY,USD,USD,AUD,AUD,JPY,JPY,Gold
Price Type,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,% pa
Summary,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Average,Average,Average,Average,Average,Average,
"01/01/16",,,,,,,,,,,,,,,,,,,
"02/01/16",,,,,,,,,,,,,,,,,,,
"03/01/16",,,,,,,,,,,,,,,,,,,
"04/01/16",1068.46,1080.73,1480.07,1498.1,127638.3,129174.53,1056.24,1068.74,1447.1,1465.43,126692.68,128397.65,1061.56,1073.71,1466.96,1484.67,127019.56,128654.33,
"05/01/16",1074.19,1086.5,1492.14,1509.43,128243.36,129858.48,1069.4,1081.7,1487.24,1504.3,127451.09,129165.8,1072.13,1084.56,1489.07,1507.17,127952.02,129639.48,
"06/01/16",1080.35,1092.05,1522.91,1540.49,128032.28,129528.05,1071.15,1083.55,1496.99,1514.99,126642.06,128428.41,1075.24,1087.39,1510.21,1527.98,127505.12,129087.48,
"07/01/16",1098.5,1110.2,1560.37,1577.89,129513.15,131014.7,1088.4,1100.1,1538.35,1555.1,128306.16,129848.85,1092.88,1104.75,1550.27,1567.97,129008.11,130548.04,
"08/01/16",1105.3,1117.63,1576.6,1595.02,130053,131572.31,1096.26,1108.45,1553.78,1571.16,129654.67,131167.34,1100.06,1112.07,1562.45,1580.32,129829.86,131359.38,
"09/01/16",,,,,,,,,,,,,,,,,,,
"10/01/16",,,,,,,,,,,,,,,,,,,
"11/01/16",1102.9,1115.2,1586.98,1605.53,129367.5,130894.17,1097,1108.7,1567.81,1584.99,128423.65,130082.34,1100.51,1112.75,1578.93,1597.34,129038.25,130597,
"12/01/16",1094.65,1106.25,1576.17,1593.1,128511,130026.9,1090,1101.5,1557.38,1574.92,127851.39,129323.01,1092.06,1103.89,1566.84,1584.58,128250.32,129757.16,
"13/01/16",1082.65,1094.5,1550.86,1569.4,127797.84,129274.62,1076.01,1088.28,1527.34,1545.85,127225.56,128725.34,1080.06,1091.93,1538.09,1556.07,127500.83,129070.62,
"14/01/16",1090.76,1103.03,1575.5,1593.54,128089.93,129822.11,1084.55,1097.05,1555.8,1574.86,127722.89,129364.52,1088.2,1100.55,1566.65,1585.4,127912.49,129528.16,
"15/01/16",1080.1,1093.1,1557.91,1577.8,126939.64,128603.22,1072.86,1085.13,1533.1,1551.29,126603.87,128170.43,1075.87,1088.28,1545.07,1563.98,126786.12,128428.43,
"16/01/16",,,,,,,,,,,,,,,,,,,
"17/01/16",,,,,,,,,,,,,,,,,,,
"18/01/16",1088.5,1100.8,1584.72,1603.4,127556.46,129190.48,1083.95,1096.7,1570.36,1588.73,126562,128441.88,1086.59,1098.86,1576.46,1595.24,127258.75,128851.89,
"19/01/16",1088.74,1101.04,1584.82,1602.6,128286.23,129856.66,1082.16,1094.43,1566.93,1585.55,127153.8,128735.24,1084.79,1097,1575.22,1593.95,127526.03,129082.06,
"20/01/16",1091.3,1104.3,1592.91,1612.12,127579.45,129018.83,1083.54,1095.83,1566.71,1585.17,126776.32,128311.45,1087.22,1099.56,1579,1597.83,127292.49,128846.54,
"21/01/16",1100,1111.7,1596.52,1614.44,128577.86,130081.17,1093.76,1106.03,1573.53,1592.33,127967.98,129457.33,1096.7,1108.99,1586.65,1605.34,128269.17,129817.57,
"22/01/16",1097.31,1109.58,1566.47,1586.13,129206.49,130863.87,1091.07,1103.37,1552.9,1571.3,128775.72,130460.46,1094.51,1106.99,1560.68,1579.54,128992.21,130670.39,
"23/01/16",,,,,,,,,,,,,,,,,,,
"24/01/16",,,,,,,,,,,,,,,,,,,
"25/01/16",1100.6,1112.85,1576.69,1596.93,130357.11,131883.85,1093.01,1105.28,1559.44,1577.39,129630.99,131207.79,1097.1,1109.36,1567.29,1585.56,130041.31,131597.71,
"26/01/16",,,,,,,,,,,,,,,,,,,
"27/01/16",1117.5,1130.5,1594.73,1614.08,132026.65,133668.52,1112.46,1124.73,1580.65,1599.22,131459.4,133014.66,1115.29,1127.72,1587.34,1605.77,131815.42,133396.79,
"28/01/16",1121.35,1133.65,1595.77,1614.43,132891.19,134598.26,1113.25,1126,1571.28,1590.75,132058.52,133712.5,1116.01,1128.52,1584.07,1602.71,132414.49,134075.95,
"29/01/16",1111.42,1124.42,1568.27,1586.09,134012.61,135691.97,1107.1,1119.4,1556.4,1574.34,131600.18,133401.82,1109.59,1122.01,1561.49,1579.73,133231.41,134859.08,
"30/01/16",,,,,,,,,,,,,,,,,,,
"31/01/16",,,,,,,,,,,,,,,,,,,
"01/02/16",1118.78,1131.78,1582.88,1601.95,135529.01,137307.55,1113,1125.3,1573.97,1591.77,134862.21,136577.66,1116.19,1128.74,1579.14,1597.7,135232.65,136970.97,
"02/02/16",1124.87,1137.17,1590.75,1609.3,136019.28,137620.31,1121.16,1133.43,1580.66,1599.04,135190.32,136774.14,1122.37,1134.66,1584.56,1602.81,135454.21,137063.19,
"03/02/16",1124.61,1136.88,1601.37,1620.2,134559.59,136255.07,1121.56,1133.83,1590.47,1608.78,134143.78,135811.62,1123.05,1135.35,1597.2,1615.55,134371.01,136026.52,
"04/02/16",1141.7,1153.95,1589.16,1607.15,134409.18,135965.78,1135.5,1147.9,1581.38,1598.9,133735.88,135363.4,1137.52,1149.96,1584.66,1602.85,134089.08,135692.85,
"05/02/16",1152.16,1164.43,1604.43,1622.02,134618.88,136161.38,1150.88,1163.18,1598.63,1616.81,134215.63,135815.28,1151.4,1163.73,1601.11,1619.18,134386.96,135950.86,
"06/02/16",,,,,,,,,,,,,,,,,,,
"07/02/16",,,,,,,,,,,,,,,,,,,
"08/02/16",1167.65,1180.65,1644.35,1663.12,136509.96,138100.63,1160.61,1172.88,1631.71,1650.3,135826.67,137510.15,1162.29,1174.74,1638.1,1656.36,136183.69,137735.06,
"09/02/16",1189.5,1201.8,1691.67,1709.42,137097.86,138697.75,1181.59,1194.09,1670.09,1689.91,135979.07,137602.04,1187.24,1199.61,1685.48,1703.99,136592.48,138144.88,
"10/02/16",1188.21,1200.48,1687.8,1705.71,136362.21,137969.04,1177.67,1189.97,1653.57,1671.31,135373.17,136882.25,1185.81,1198.17,1677.35,1695.59,135909.85,137535.32,
"11/02/16",1214.3,1226.55,1730.27,1748.22,136542.58,138047.27,1192.91,1205.18,1678.97,1696.72,134963.38,136412.66,1204.69,1217.1,1697.17,1715.49,135646.18,137166.89,
"12/02/16",1242.96,1255.23,1751.3,1769.86,139770.85,141251.03,1228.85,1241.85,1725.55,1743.3,138209.21,139787.38,1234.35,1246.8,1737.14,1755.41,138686.05,140233.28,
"13/02/16",,,,,,,,,,,,,,,,,,,
"14/02/16",,,,,,,,,,,,,,,,,,,
"15/02/16",1228.2,1240.6,1724.52,1743.15,139226.97,140817.32,1204.02,1216.32,1683.94,1701.62,137089.72,138575.34,1216.09,1228.34,1702.64,1720.52,138215.98,139774.66,
"16/02/16",1208.85,1221.15,1687.87,1705.52,137946.21,139581.88,1186.8,1199.2,1655.69,1674.16,136209.04,137764.1,1194.95,1207.11,1668.02,1685.86,136878.97,138458.02,
"17/02/16",1205,1216.7,1697.66,1715.11,136972.35,138545.63,1192.5,1204.9,1676.74,1694.89,136304.71,137782.45,1199.43,1211.54,1687.81,1705.77,136641.48,138162.66,
"18/02/16",1204.7,1217.01,1686.24,1704.39,137294.53,138937.14,1198.49,1210.79,1673.17,1691.05,136364.19,137872.66,1203.15,1215.44,1680.95,1699.03,136955.52,138571.4,
"19/02/16",1227.6,1240,1723.83,1741.79,138937.17,140587.06,1217.06,1229.33,1713.2,1730.72,137539.95,138975.76,1222.39,1234.71,1717.69,1735.71,138061.13,139606.88,
"20/02/16",,,,,,,,,,,,,,,,,,,
"21/02/16",,,,,,,,,,,,,,,,,,,
"22/02/16",1221.61,1233.88,1711.18,1728.85,137799,139316.58,1198.71,1211.01,1667.42,1685.7,135634.04,137146.88,1211.2,1223.53,1688.52,1706.47,136640.62,138197.83,
"23/02/16",1217.6,1229.9,1685.49,1703.93,136647.58,138179.68,1204.6,1216.9,1664.96,1683.13,135699.34,137139.93,1212.71,1225.1,1676.98,1695,136118.9,137621.23,
"24/02/16",1227.67,1239.97,1707.73,1726.08,137351.72,138901.44,1221.2,1232.9,1695.6,1713.34,136581.45,138148.9,1223.31,1235.56,1701.35,1719.24,136830.62,138383.95,
